name,artist,album_name,release_date,lyrics
Bulleya ,Pritam,Award Winners 2016 Bollywood,2017-03-10,कुछ रिश्तों का नमक ही दूरी होता है न मिलना भी बोहत ज़रूरी होता है दम दम दम दम तू मेरा दम दम दम दम मेरा हल दम दम दम दम तू मेरा दम दम दम दम मेरा हल दम दम दम दम तू बात करे या न मुझसे चाहे आँखों का पैगाम न ले पर ये मत कहना अरे ो पगले मुझे देख न तू मेरा नाम न ले तुझसे मेरा दीं धरम है मुझसे तेरी खुदाई तुझसे मेरा दीं धरम है मुझसे तेरी खुदाई तू बोले तोह मैं बन जाऊं मैं बुल्ल्ह शाह सौदे मैं भी नाचूं मैं भी नाचूं मनौ सोहने यार को चलूँ मैं तेरी राह बुलया मैं भी नाचूं रिझाऊं सोहने यार को करूँ न परवाह बुलया मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू मेरा मेहरम तू मरहम तू मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू माना अपना इश्क़ अधूरा दिल न इस्पे शर्मिंदा है पूरा होक ख़तम हुआ सब जो है आधा वो ही ज़िंदा है हो बैठी रहती है उमीदें तेरे घर की दहलीज़ों पे जिसकी न परवाज़ ख़तम हो दिल ये मेरा वही परिंदा है बक्शे तू जो प्यार से मुझको तोह हो मेरी रिहाई बक्शे तू जो प्यार से मुझको तोह हो मेरी रिहाई तू बोले तोह मैं बन जाऊं मैं बुल्ल्ह शाह सौदे मैं भी नाचूं मैं भी नाचूं मनौ सोहने यार को चलूँ मैं तेरी राह बुलया मैं भी नाचूं रिझाऊं सोहने यार को करूँ न परवाह बुलया मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू तू याद करे या न मुझको मेरे जीने में अंदाज़ तेरा सर आँखों पर है तेरी नाराज़ी मेरी हार में है कोई राज़ तेरा शायद मेरी जान का सड़क मांगे तेरी जुदाई शायद मेरी जान का सड़क मांगे तेरी जुदाई तू बोले तोह मैं बन जाऊं मैं बुल्ल्ह शाह सौदे मैं भी नाचूं मैं भी नाचूं मनौ सोहने यार को चलूँ मैं तेरी राह बुलया मैं भी नाचूं रिझाऊं सोहने यार को करूँ न परवाह बुलया मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू मेरा मेहरम तू मरहम तू मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू मेरा हर दम दम हर दम तू कुछ रिश्तों का नमक ही दूरी होता है न मिलना भी बोहत ज़रूरी होता है
"Kar Gayi Chull "")",Badshah,Award Winners 2016 Bollywood,2017-03-10,एरर फेचिंग थे सर्च रिजल्ट्स
Samjhawan ,Jawad Ahmad,Yours Truly Arijit,2016-12-09,इंग्लिश नहीं जीना तेरे बाजू नहीं जीना नहीं जीना नहीं जीना तेरे बाजू नहीं जीना नहीं जीना नहीं जीना तेरे बाजू नहीं जीना नहीं जीना नहीं जीना तेरे बाजू नहीं जीना नहीं जीना मैं तनु समझावण की न तेरे बिना लगदा जी मैं तनु समझावण की न तेरे बिना लगदा जी तू की जाने प्यार मेरा मैं करून इंतज़ार तेरा तू दिल तुई योन जान मेरी मैं तनु समझावण की न तेरे बिना लगदा जी तू की जाने प्यार मेरा मैं करून इंतज़ार तेरा तू दिल तुई यो जान मेरी मैं तनु समझावण की न तेरे बिना लगदा जी मेरे दिल ने चुन लिया ने तेरे दिल दियां राहन तू जो मेरे नाल तू रहता तुरपे मेरियाँ साहा जीना मेरा हाय हूँ है तेरा की मैं कारण तू कर ऐतबार मेरा मैं करून इंतज़ार तेरा तू दिल तुई योन जान मेरी मैं तनु समझावण की न तेरे बिना लगदा जी
Muskurane ,Jeet Gannguli,Yours Truly Arijit,2016-12-09,मुस्कुराने की वजह तुम हो गुनगुनाने की वजह तुम हो जिया जाए न जाए न जाए न ो रे पिया रे जिया जाए न जाए न जाए न ो रे पिया रे ो रे लम्हे तू कहीं मत जा हो सके तोह उम्र भर थम जा जिया जाए न जाए न जाए ना ो रे पिया रे जिया जाए न जाए न जाए ना ो रे पिया रे पीया रे धुप आये तोह छाँव तुम लाना ख्वाहिशों की बारिशों में भीग संग जाना धुप आये तोह छाँव तुम लाना ख्वाहिशों की बारिशों में भीग संग जाना जिया जाए न जाए न जाए न ो रे पिया रे जिया जाए न जाए न जाए न ो रे पिया रे पिया रे जो मिले उसमे काट लेंगे हम थोड़ी खुशियां थोड़े आंसू बाँट लेंगे हम जो मिले उसमे काट लेंगे हम थोड़ी खुशियां थोड़े आंसू बाँट लेंगे हम जिया जाए न जाए न जाए न ो रे पिया रे जिया जाए न जाए न जाए न ो रे पिया रे पिया रे मुस्कुराने की वजह तुम हो गुनगुनाने की वजह तुम हो जिया जाए न जाए न जाए न ो रे पिया रे जिया जाए न जाए न जाए न ो रे पिया रे पिया रे पिया रे वो ो हो ू
Tumhi Dekho Naa,Shankar-Ehsaan-Loy,The Essential Bollywood Lounge,2010-11-08,एरर फेचिंग थे सर्च रिजल्ट्स
Na Tum Jano Na Hum,Lucky Ali,Kaho Naa Pyaar Hai (Original Motion Picture Soundtrack),1999-12-01,एरर फेचिंग थे सर्च रिजल्ट्स
Ek Pal Ka Jeena,Lucky Ali,Kaho Naa Pyaar Hai (Original Motion Picture Soundtrack),1999-12-01,एक पल का जीना फिर तो है जाना तोहफा क्या ले के जाइये दिल ये बताना खली हाथ आये थे हम खली हाथ जाएंगे बस प्यार के दो मीठे बोल झील मिलाएंगे तो हंसकयउं की दुनिया को है हसना ए मेरे दिल तू गाये जा ा ए आ आगया ोहान्खों में दिलबर का सपना भी है हाँ कोई सपना भी है ोःदुनिया में तेरा कोई अपना भी है हाँ कोई अपना भी है एक चेहरा ख़ास है जो दिल के पास है होठों पे प्यास है एक मिलने की आस है दिलबरों का मगर कहाँ कोई ठिकाना ए मेरे दिल तू गाये जा ा ए आआआए आ ोःजीवन खुशियों का एक झोका सा है हाँ कोई झोखा सा है ोहौर यह झोंका एक धोखा सा है हाँ कोई धोखा सा है यह कैसी है ख़ुशी जल जल के जो बुझी भुझ भुझ के जो जाली मिलके भी न मिली दोस्तों पर किसी हाल में न घबराना ए मेरे दिल तू गाये जा ा आया आगया एक पल का जीना फिर तो है जाना तोहफा क्या ले के जाइये दिल ये बताना खली हाथ आये थे हम खली हाथ जाएंगे बस प्यार के दो मीठे बोल झील मिलाएंगे तो हंसकयउं की दुनिया को है हसना ए मेरे दिल तू गाये जा ा ए आ आगया
Beedi ,Sunidhi Chauhan,Hits of Saif,2014-11-25,न गिलाफ न लिहाफ न गिलाफ न लिहाफ ठंडी हवा के खिलाफ ससुरी न गिलाफ न लिहाफ ठंडी हवा के खिलाफ ससुरी ो इतनी सर्दी है किसीका लिहाफ लेही लेह ो जा पडोसी के चुल्ह से आग लेही लेह बेदी जलइले लेह जिगर से पिया जिगर माबादी आग है बेदी जलइले लेह जिगर से पिया जिगर माबादी आग है वादा निकरि ो लैब से पिया आह आ वादा निकरि ो लैब से पिया जेह दुनिया बड़ी ढँक है हाँ बेदी जलइले लेह जिगर से पिया जिगर माबादी आग है न गिलाफ न लिहाफ ठंडी हवा के खिलाफ ससुरी ो इतनी सर्दी है किसीका लिहाफ लेही लेह ो जा पडोसी के चले से आग लेही लेह ो जा पडोसी के चले से आग लेही लेह न कसूर न फ़तूर न कसूर न फ़तूर बिना जयराम के हजूर मार गए ो मार गए ो ऐसे इक दिन दुपहरी बुला लियो रे बांध घुंघरू कचेरी लागलियो रे बुला लियो रे बुला लियो रे दुपहरी लगाइलो रे लगाइलो रे कचेरी अंगीठी जलइले लेह जिगर से पिया जिगर माबादी आग है बेदी जलइले लेह जिगर से पिया जिगर माबादी आग है हो न तोह चाकुओं की धार हो न तन राति न कतार हो न तोह चाकुओं की धार हो न तन राति न कतार ऐसा काटे के डाट जानिसार छोड़ दे यह कतई तोह कोई भी किसान छोड़ दे ो ऐसे चलीं का छोड़ दे मकान जोड़ दे रे बिलो चलीं का छोड़ दे मकान जोड़ दे ऐसे चलीं का ो ऐसे चलीं का ऐसे चलीं का छोड़ दे मकान जोड़ दे न बुलाया न बताया न बुलाया न बताया माने नींद से जगाया है रे ऐसे चोंकेले हाथ में नसीब आ गया वह इलायची खिलाईके करीब आ गया कोयला जलाई लेह जिगर से पिया जिगर माँ आग है इतनी सर्दी है किसीका लिहाफ लेही लेह ो जा पडोसी ो जा पडोसी जा जा पडोसी ो जा पडोसी के चले से आग लेही लेह
Madari,Clinton Cerejo,"Best of Coke Studio @ MTV Season, 2",2012-12-07,मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे जम्मूरा मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे जम्मूरा रे मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे जम्मूरा मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे जम्मूरा रे मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे जम्मूरा मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे जम्मूरा रे तेरा डमरू बाजे बाजे डम्मरु मैं का मयूरा मैं का मयूरा जमके नाचे तेरी बानी के दम पर बानी के दम पर जग सारा भागे आगे पाछे तू ही धरे मुस्कान की बूटी चींटी तू असुवन की फुहार तू ही धरे सागर का थैला तू ही भरे नदिया में धार मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे जम्मूरा मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे जम्मूरा रे जम्मूराहये हाजी लोक मायके न जांदे हाजी लोक मायके न जांदे आसान ते जाना तखत हज़ारे ते जिस वाल यार उस वाल काबा ते आसान फ़ोल किताबां चारे हाजी लोक मायके न जांदे हाय ते आसान ते जाना तखत हज़ारे ते जिस वाल यार उस वाल काबा ते आसान फ़ोल किताबां चारे इत् खड़क्के दुक्कड़ वज्जे टाटा होवे चूल्हा इत् खड़क्के दुक्कड़ वज्जे टाटा होवे चूल्हा ाँ फ़कीर ते खा खा जावन राज़ी होवे बुल्ला इत् खड़क्के दुक्कड़ वज्जे टाटा होवे चूल्हा इत् खड़क्के दुक्कड़ वज्जे टाटा होवे चूल्हा ाँ फ़कीर ते खा खा जावन राज़ी होवे बुल्ला तेरी रूखी सूखी सूखी रूखी खाके देखा हर एक निवाला अमृत लागे तेरे रहमोकरम से रहमोकरम से हर फूटी किस्मत उठ के भागे जितना भरदे खिलौने में चाभी उतनी है उसकी रफ़्तार तू चलाता है जीवन का मेला तू ही सुने हम सबकी गुहार मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे जम्मूरा मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा जम्मूरा रे मदारी मदारी मदारी मदारी मेरा तू मैं जम्मूरा रे जम्मूरा रे जम्मूरा रे मैं तेरा जमूरा रे जमूरा मैं तेरा तू मेरा मदारी मदारी मदारी मदारी मदारी मदारी मदारी मदारी मदारी मदारी मदारी
Teri Deewani,Kailash Kher,Kailasa,2006-02-24,इंग्लिश प्रीत की लत मोहे ऐसी लागि हो गयी मैं मतवारी बल बल जाऊं अपने पिया को है मैं जाऊं वारि वारि मोहे सुध बुध नाय रही तन मैं की ये तो जाने दुनिया साड़ी बेबस और लाचार फिरूं मैं हारी मैं दिल हारी हारी मैं दिल हारी तेरे नाम से जी लून तेरे नाम से मर्डर जाऊं तेरे नाम से जी लून तेरे नाम से मर्डर जाऊं तेरी जान के सड़के में कुछ ऐसा कर जाऊं तूने क्या कर डाला मर्डर गयी मैं मिटत गयी मैं हो हो जी हाँ हाँ जी हो गयी मैं तेरी दीवानी दीवानी तेरी दीवानी दीवानी तूने क्या कर डाला मर्डर गयी मैं मिटत गयी मैं हो हो जी हाँ हाँ जी हो गयी मैं तेरी दीवानी दीवानी तेरी दीवानी दीवानी इश्क़ जूनून जब हद से बढ़ जाए इश्क़ जूनून जब हद से बढ़ जाए हँसते हँसते आशिक़ सूली चढ़ जाए इश्क़ का जादू सर चढ़कर बोले इश्क़ का जादू सर चढ़कर बोले खूब लगा लो पहरे रस्ते रब खोले यही इश्क़ दी मर्ज़ी हैं यही रब दी मर्ज़ी हैं यही इश्क़ दी मर्ज़ी हैं यही रब दी मर्ज़ी हैं तेरे बिन जीना कैसा हाँ खुदगर्ज़ी है तूने क्या कर डाला मर्डर गयी मैं मिटत गयी मैं हो हो जी हाँ हाँ जी हो गयी मैं तेरी दीवानी दीवानी तेरी दीवानी दीवानी तेरी दीवानी दीवानी तेरी दीवानी दीवानी ो ो ो हे मैं रंग रंगीली दीवानी हे मैं रंग रंगीली दीवानी हे मैं अलबेली मैं मस्तानी गाउन बजाऊं सबको रिझाऊं हे मैं दिन धरम से बेगानी हे मैं दीवानी मैं दीवानी तेरे नाम से जी लून तेरे नाम से मर्डर जाऊं तेरे नाम से जी लून तेरे नाम से मर्डर जाऊं तेरे जान के सड़के में कुछ ऐसा कर जाऊं तूने क्या कर डाला मर्डर गयी मैं मिटत गयी मैं हो हो जी हाँ हाँ जी हो गयी मैं तेरी दीवानी दीवानी तेरी दीवानी दीवानी तेरी दीवानी दीवानी तेरी दीवानी दीवानी तेरी दीवानी दीवानी तेरी दीवानी दीवानी तेरी दीवानी दीवानी
