name,artist,album_name,release_date,lyrics
Jeena Jeena ,Atif Aslam,"Jeena Jeena (From ""Badlapur"")",2015-01-15,हममहंम देहलीज़ पे मेरे दिल की जो रखे हैं तूने कदम तेरे नाम पे मेरी ज़िन्दगी लिख दी मेरे हमदम हाँ सीखा मैंने जीना जीना कैसे जीना हाँ सीखा मैंने जीना मेरे हमदम न सीखा कभी जीना जीना कैसे जीना न सीखा जीना तेरे बिना हमदम देहलीज़ पे मेरे दिल की जो रखे हैं तूने कदम तेरे नाम पे मेरी ज़िन्दगी लिख दी मेरे हमदम हाँ सीखा मैंने जीना जीना कैसे जीना हाँ सीखा मैंने जीना मेरे हमदम न सीखा कभी जीना जीना कैसे जीना न सीखा जीना तेरे बिना हमदम हममहंमम सच्ची सी हैं यह तारीफें दिल से जो मैंने करि हैं सच्ची सी हैं यह तारीफें दिल से जो मैंने करि हैं जो तू मिला तो सजी हैं दुनिया मेरी हमदम ो आसमा मिला ज़मीन को मेरी आधे आधे पूरे हैं हम तेरे नाम पे मेरी ज़िन्दगी लिख दी मेरे हमदम हाँ सीखा मैंने जीना जीना कैसे जीना हाँ सीखा मैंने जीना मेरे हमदम न सीखा कभी जीना जीना कैसे जीना न सीखा जीना तेरे बिना हमदम हम्म्म
Jeene Laga Hoon ,Atif Aslam,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),2013-05-15,जीने लगा हूँ पहले से ज़्यादा पहले से ज़्यादा तुमपे मरने लगा हूँ मैं मेरा दिल और तुम हो यहाँ फिर क्यों हो पलकें झुकाएं वहां तुम सा हसीं पहले देखा नहीं तुम इससे पहले थे जाने कहाँ जीने लगा हूँ पहले से ज़्यादा पहले से ज़्यादा तुमपे मरने लगा हुम्म्म हम्म्म्म रहते हो आ के जो तुम पास मेरे थम जाये पल वहीँ बास मैं यह सोचूं सोचूं मैं थम जाये पल यह पास मेरे जब हो तुम सोचूं मैं थम जाये पल यह पास मेरे जब हो तुम चलती है सांसें पहले से ज़्यादा दिल ठहरने लगा हुम्म्म्महंममम तन्हाइयों में तुझे ढूंढें मेरा दिल हर पल यह तुझको ही सोचे भला क्यों तन्हाई में ढूंढें तुझे दिल हर पल तुझको सोचे तन्हाई में ढूंढें तुझे दिल हर पल तुझको सोचे मिलने लगे दिल पहले से ज़्यादा पहले से ज़्यादा इश्क़ होने लगा हम्म्म्म हम्म्म्म
Main Rang Sharbaton Ka ,Atif Aslam,Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),2013-09-10,ख्वाब है तू नींद हूँ मैं दोनों मिलें रात बने रोज़ यही माँगूँ दुआ तेरी मेरी बात बने बात बने मैं रंग शर्बतों का तू मीठे घात का पानी मैं रंग शर्बतों का तू मीठे घात का पानी मुझे खुद में घोल दे तो मेरे यार बात बन जानी रंग शर्बतों का तू मीठे घात का पानी मैं रंग शर्बतों का तू मीठे घात का पानी मुझे खुद में घोल दे तोह मेरे यार बात बन जानी रंग शर्बतों का तू मीठे घात का पानी मैं रंग शर्बतों का तू मीठे घात का पानी ो यारा तुझे प्यार की बतियाँ क्या समझावां जागती रतियाँ रोज़ बितावां इससे आगे अब मैं क्या कहूं ो यारा तुझे डोलती अँखियाँ सड़के जवान मांग ले पकियाँ आज दुवनवा इससे आगे अब मैं क्या कहूं मैंने तोह धीरे से नींदों के धागे से बाँधा है ख्वाब को तेरे मैं न जहां चहुँ न आसमान चाहूँ आजा हिस्से मैं तू मेरे तू ढंग चाहतों का मैं जैसे कोई नादानी तू ढंग चाहतों का मैं जैसे कोई नादानी मुझे खुद से जोड़ दे तो मेरे यार बात बन जनि रंग शर्बतों का तू मीठे घात का पानी मैं रंग शर्बतों का तू मीठे घात का पानी तेरे ख्यालों से तेरे ख्यालों तक मेरा तोह है आना जाना मेरा तोह जो भी है तू ही था तू ही है बाकि जहां है बेगाना तुम एक मुसाफिर हो मैं कोई राह अंजनी तुम एक मुसाफिर हो मैं कोई राह अंजनी मन छह मोड़ दे तो मेरे यार बात बन जनि रंग शर्बतों का तू मीठे घात का पानी मैं रंग शर्बतों का तू मीठे घात का पानी मुझे खुद में घोल दे तोह मेरे यार बात बन जानी रंग शर्बतों का तू मीठे घात का पानी मैं रंग शर्बतों का तू मीठे घात का पानी ो यारा तुझे प्यार की बतियाँ क्या समझावां जागती रतियाँ रोज़ बितावां इससे आगे अब मैं क्या कहूं ो यारा तुझे डोलती अँखियाँ सड़के जवान मांग ले पकियाँ आज दुवनवा इससे आगे अब मैं क्या कहूं
Tu Jaane Na ,Atif Aslam,Atif Rocks,2011-05-27,तू ही मेरी जींद तू ही जान सोनिये दिल ते लखाया तेरा ना तेरे बिन लगदा न जी सोनिये तेरे ुट्टों मेरी जान कुर्बान तू ही मेरी जींद तू ही जान सोनिये दिल ते लखाया तेरा ना तेरे बिन लगदा न जी सोनिये तेरे ुट्टों मेरी जान कुर्बान तू जाने न मेरी जान किवें कहाँ तू जाने न मेरी जान किवें कहाँ चोरी चोरी वेख तैनू दिन काट लेना हाँ तेरियां अखन च मैनु दिसदा जहाँ हसदी जड़ों तू मैनु दुःख भूल जांदे यादें तेरियां च मेरा कटड़ा समां मैनु राति चानन तारे पुछदे ने तेरे बारे तेरी गल्लां करदे ने तेरे वादे तेरे लारे ओह वि जांदे ने सारे बस केहन टन दर्दे ने तू मेरी जान जाने न किवें कहाँ तू मेरी जान तू जाने न किवें कहाँ तू जाने न मेरी जान किवें कहाँ काश मेरे लेखन विच तू ही लिखी होवें तेरियां ही ज़ुलफ़ां दी लिखी होव छान तेरे नाल जीना ात्ते तेरे नाल मरना तेरियां सहन दे नाल चले मेरा साह तेरी अखन दे सवेरे मेरे बहन विच शाम मैनु होर नई कुज्ज दिसदा कीड़े नाम लिखी जान न नित्त दस ना तू लिखेया ऐ किस्डा तू मेरी जान जाने न किवें कहाँ तू मेरी जान तू जाने न किवें कहाँ तू जाने न मेरी जान किवें कहाँ
Be Intehaan ,Atif Aslam,Yours Truly,2014-09-02,सुनो न कहे क्या सुनो न दिल मेरा सुनो न सुनो ज़रा तेरी बाहों में मुझे रहना है रात भर तेरी बाहों में होगी सुबह बे इन्तेहाँ बे इन्तेहाँ हम्म्म यूँ प्यार कर यूँ प्यार कर बे इन्तेहाँ देखा करूँ साड़ी उम्र तेरे निशाँ बेइन्तेहाँ कोई कसार ना रहे मेरी खबर ना रहे छू ले मुझे इस कदर बेइन्तेहाँ जब साँसों में तेरी साँसें घुली तोह फिर सुलगने लगे एहसास मेरे मुझसे कहने लगे हां बाहों में तेरी आके जहां दो यूँ सिमटने लगे सैलाब जैसे कोई बहने लगे खोया हूँ मैं आगोश में तू भी कहाँ अब होश में मखमली रात की हो ना सुबह बे इन्तेहाँ बेइन्तेहाँ यूँ प्यार कर बेइंतेहा हम्म्म गुस्ताखियां कुछ तुम करो कुछ हम करे इस तरह शर्र्मा के दो साये हैं जो मुँह फेर ले हम से यहां हाँ छू तोह लिया है ये जिस्म तूने रूह भी चूम ले अलफ़ाज़ भीगे भीगे क्यों है मेरे हाँ यूँ चूर हो के मजबूर हो के क़तरा क़तरा कहे एहसास भीगे भीगे क्यों हैं मेरे दो बेखबर भीगे बदन हो बेसबर भीगे बदन ले रहे रात भर अंगड़ाइयां बे इन्तहा बे इन्तहा यूँ प्यार कर बे इन्तहा देखा करून साड़ी उम्र तेरे निशान बेइन्तेहाँ कोई कसार न रहे मेरी खबर न रहे छू ले मुझे इस कदर बेइन्तेहाँ
Kuch Is Tarah ,Atif Aslam,Yours Truly,2014-09-02,कुछ इस तरह तेरी पलकें मेरी पलकों से मिला दे आंसू तेरे सरे मेरी पलको पेह सजा दे कुछ इस तरह तेरी पलकें मेरी पलकों से मिला दे आंसू तेरे सरे मेरी पलको पेह सजा दे कुछ इस तरह तेरी पलकें मेरी पलकों से मिला दे कुछ इस तरह तेरी पलकें मेरी पलकों से मिला दे आंसू तेरे सरे मेरी पलको पेह सजा दे तू हर घडी हर वक़्त मेरे साथ रहा हैं हाँ यह जिस्म कभी दूर कभी पास रहा हैं जो भी घूम हैं यह तेरे उन्हें तू मेरा पता दे कुछ इस तरह तेरी पलकें मेरी पलकों से मिला दे आंसू तेरे सरे मेरी पलको पेह सजा दे मुझको को तोह तेरे चहरे पेह यह घूम नहीं जहाचता जायस नहीं लगता मुझे घूम से तेरा रिश्ता सुन मेरी गुजारिश इसे चहरे से हटा दे सुन मेरी गुजारिश इसे चहरे से हटा दे कुछ इस तरह तेरी पलकें मेरी पलकों से मिला दे आंसू तेरे सरे मेरी पलको पेह सजा दे कुछ इस तरह तेरी पलकें मेरी पलकों से मिला दे आंसू तेरे सरे मेरी पलको पेह सजा दे
Tera Hone Laga Hoon ,Atif Aslam,Yours Truly,2014-09-02,शाइनिंग इन थे सैंड न सुन लिखे ा पर्ल अपॉन थे ओसियन के एंड फील में हु फील में शाइनिंग इन थे सैंड न सुन लिखे ा पर्ल अपॉन थे ओसियन के एंड हील में हो हील में थिंकिंग जब्त थे लव वे मेक एंड आल लाइफ शेयरिंग के एंड फील में हो फैल में शाइनिंग इन थे सैंड न सुन लिखे ा पर्ल अपॉन थे ओसियन के एंड फील में को हील में तू आजा तू भी मेरा मेरा तेरा जो िकरारर हुआ तो क्यों न में भी कह दूँ कह दूँ हुआ मुझे भी प्यार हुआ तेरा होने लगा हूँ खोने लगा हूँ जब से मिला हूँ तेरा होने लगा हूँ खोने लगा हूँ जब से मिला हूँ शाइनिंग इन थे सैंड न सुन लिखे ा पर्ल अपॉन थे ओसियन के एंड फील में ो हील में उम् वैसे तो मान मेरा पहले भी रातों में अक्सर ही चाहत के हाँ सपने संजोता था पहले भी धड़कन यह धुन कोई जाती थी पर अब्ब जो होता है वह पहले न होता था हुआ है तुझे जो भी जो भी मुझे भी इस पार हुआ तो न मैं भी कह दूँ कह दूँ हुआ मुझे भी प्यार हुआ तेरा होने लगा हूँ खोने लगा हूँ जब से मिला हूँ तेरा होने लगा हूँ खोने लगा हूँ जब से मिला हूँ आँखों से छू लूँ की बाहें तरसती हैं दिल ने पुकारा है हाँ अब्ब तू चले आओ आओ तो शबनम की बूदें बरसती हैं मौसम इशारा है हाँ अब तो चले अउ बाँहों में डेल बाहें बाहें बाँहों का जैसे हार हुआ हाँ मन मेने माना मन हुआ मुझे भी प्यार हुआ तेरा होने लगा हूँ खोने लगा हूँ जब से मिला हूँ तेरा होने लगा हूँ खोने लगा हूँ जब से मिला हूँ शाइनिंग इन थे सैंड न सुन लिखे ा पर्ल अपॉन थे ओसियन के एंड फील में हाँ फील में शाइनिंग इन थे सैंड न सुन लिखे ा पर्ल अपॉन थे ओसियन के एंड हील में हाँ हील में थिंकिंग जब्त थे लव वे मेक एंड आल लाइफ शेयरिंग के एंड फील में हो फैल में शाइनिंग इन थे सैंड न सुन लिखे ा पर्ल अपॉन थे ओसियन के एंड फील में को हील में
Bakhuda Tumhi Ho ,Atif Aslam,Yours Truly,2014-09-02,होओओओ हो हो हो होऊ तू ही एहसासों में तू ही जज़्बातों में तू ही लम्हातों में तू ही दिन रातों में बखुदा तुम्ही हो हर जगह तुम्ही हो हाँ में देख्या जहाँ जब उस जगह तुम्ही हो यह जहाँ तुम्ही हो वो जहाँ तुम्ही हो इस ज़मीन से फलक के दरमियांनतुंही हो तुम ही हो बेशुमार तुम ही हो तुम ही हो मुझ में हाँ तुम ही होतुम ही हो होऊ कैसे बताये तुम्हे और किस तरह यह कितना तुम्हे हम चाहते है साया भी तेरा दिखे तो पास जाके उसमें सिमट हम जाते है रास्ता तुम ही हो रेहनुमान तुम ही हो जिसकी ख्वाहिश है हमको वो पनाह तुम ही हो तुम ही हो बेशुमार तुम ही हो तुम ही हो मुझ में हाँ तुम ही हो तू ही एहसासों में तू ही जज़्बातों में तू ही लम्हातों में तू ही दिन रातों में कैसे बताये तुम्हे शब् में तुम्हारे ख्वाब हसीं जो आते है कैसे बताये तुम्हे लम्ज़ वो सारे जिस्म को जो महकते है इफ्तिदा तुम ही हो इन्तेहाँ तुम ही तो तुम हो जीने का मकसद और वजह तुम ही हो बखुदा तुम्ही हो हर जगह तुम्ही हो हाँ में देख्या जहाँ जब उस जगह तुम्ही हो यह जहाँ तुम्ही हो वो जहाँ तुम्ही हो इस ज़मीन से फलक के दरमियांनतुंही हो तुम ही हो बेशुमार तुम ही हो तुम ही हो मुझ में हाँ तुम ही होतुम ही हो होऊ हो हो हो हूँ
Where's the Party Tonight,Shankar-Ehsaan-Loy,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),2006-06-08,वांनै नाच आल नाईट वांनै नाच आल नाईट दो ु फील ऑलराइट वांनै नाच आल नाईट डांस विथ में बेबी वोट ु डांस विथ में आल नाईट वोट ु पार्टी पार्टी पार्टी वोट ु रन थे फ्लोर आल नाईट डांस विथ में बेबी वोट ु डांस विथ में आल नाईट वोट ु पार्टी पार्टी पार्टी वोट ु रन थे फ्लोर आल नाईट प्यारे प्यारे लम्हे प्यारी प्यारी बाते सपनो के दिन हैं सपनो की राते हो गूंजे है दिल के तराने बजने हैं गीत सुहाने बहके है सरे दीवाने तोह नाच ले नाच ले आल नाईट व्हेरेस डा पार्टी टुनाइट ों थे डांस फ्लोर ओह सपनो के दिन हैं सपनो की राते व्हेरेस थे पार्टी टुनाइट डांस विथ में बेबी वोट ु डांस विथ में आल नाईट वोट ु पार्टी पार्टी पार्टी वोट ु रन थे फ्लोर आल नाईट वांनै नाच आल नाईट वांनै नाच आल नाईट दो ु फील ऑलराइट वांनै नाच आल नाईट प्यारे प्यारे लम्हे प्यारी प्यारी बाते सपनो के दिन हैं सपनो की राते हो गूंजे है दिल के तराने बजने हैं गीत सुहाने बहके है सरे दीवाने तोह नाच ले नाच ले आल नाईट व्हेरेस थे पार्टी टुनाइट समवेयर डाउन थे रोड ों थे डांस फ्लोर ओह सपनो के दिन हैं सपनो की राते व्हेरेस थे पार्टी टुनाइट ओह सजना ओह सजना तेरे बिना मई नहीं ी वांनै जो डांसिंग वेयर स थे टेक ु आउट पार्टी टुनाइट ी वांनै जो डांसिंग वेयर स थे लेटस स्क्रीम एंड शॉट पार्टी टुनाइट जो मेरी मंजिल था पागल जिसपे दिल था है वह मुझे मिल गया फूल जो महका था जिसपे दिल बहका था बाहो में वह खिल गया महाकि हैं प्यार की रहे बहकी हैं साडी निगाहे फैली हैं ख्वाबो की बाहे तोह नचले नचले आल नाईट व्हेरेस थे पार्टी टुनाइट समवेयर डाउन थे रोड ों थे डांस फ्लोर ओह सपनो के दिन हैं सपनो की राते व्हेरेस थे पार्टी टुनाइट
Bole Chudiyan,Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),2001-11-28,बोले चूड़ियां बोले कंगना है मैं हो गयी तेरी साजना तेरे बिन जियो नाइयो लगदा मैं ते मरगइयाँ लहजा लहजा दिल लहजा लहजा सोनिये लहजा लहजा लहजा लहजा दिल लहजा लहजा सोनिये लहजा लहजा बोले चूड़ियां बोले कंगना है मैं हो गयी तेरी साजना बोले चूड़ियां बोले कंगना है मैं हो गयी तेरी साजना तेरे बिन जियो नाइयो लगदा मैं ते मरगइयाँ लहजा लहजा सोनिये लहजा लहजा दिल लहजा लहजा बोले चूड़ियां बोले कंगना है मैं हो गया तेरा साजना तेरे बिन जियो नाइयो लगदा मैं ते मर जावा लहजा लहजा सोनिये लहजा लहजा दिल लहजा लहजा है है मैं मर जावा मर जावा तेरे बिन अब तो मेरी रातें कटी तारे गईं गईं बस तुझको पुकारा करे मेरी बिंदिया इशारा करे लश्कर लश्कर तेरी बिंदिया का लश्कर ऐसे चमके जैसे चमके चाँद के पास सितारा मेरी पायल बोले तुझे जो रूठे मनाये तुह्जे ओह साजन जी हाँ साजन जी कुछ सोचो कुछ समझो मेरी बात को बोले चूड़ियां बोले कंगना है मैं हो गया तेरा साजना तेरे बिन जियो नाइयो लगदा मैं ते मर जावा लहजा लहजा सोनिये लहजा लहजा दिल लहजा लहजा अपनी मांग सुहागन हो संग हमेशा साजन हो आके मेरी दुनिया में वापस न जाना सेहरा बांड के माहि तू मेरे घर आना सोनी कीथी सोनी आज तू लगदी वह बस मेरा साथ यह जोड़ी तेरी साजदी वह रूप ऐसा सुहाना तेरा चाँद भी दीवाना तेरा जा रे ओह जा जूठे तेरी गाला हम न मने क्यों तारे से करता है तू हमको सब कुछ जाने मेरी दिल की दुआ यह कहे तेरी जोड़ी सलामत रहे ओह साजन जी ओह सजणजी यूँ ही बाईट सारा जीवन साथ में बोले चूड़ियां बोले कंगना है मैं हो गया तेरा साजना तेरे बिन जियो नाइयो लगदा मैं ते मर जावा लहजा लहजा सोनिये लहजा लहजा दिल लहजा लहजा लहजा लहजा सोनिये लहजा लहजा दिल लहजा लहजा आजा हीरिये जा जा राँझड़ा आजा हीरिये जा जा राँझड़ा लहजा लहजा सोनिये लहजा लहजा दिल लहजा लहजा लहजा लहजा सोनिये लहजा लहजा दिल लहजा लहजा न जुड़ा होंगे हम कभी ख़ुशी कभी घूम
Radha,Vishal-Shekhar,Student of the Year (Original Motion Picture Soundtrack),2012-08-31,गोपियों संग घूमे कन्हैया रास रचैया राधा न जाए रे अब्ब सांवरा न भाये रे राधा ों थे डांस फ्लोर राधा लाइक्स तो पार्टी राधा लाइक्स तो मूव तहत सेक्सी राधा पार्टी राधा ों थे डांस फ्लोर राधा लाइक्स तो पार्टी राधा लाइक्स तो मूव तहत सेक्सी राधा पार्टी पनघट पे आके सैयां मरोड़े बाइयाँ एंड एवरीबॉडी क्रेजी ों राधा छेड़े हुंका डाइयाँ बैरी कन्हैया एंड एवरीबॉडी क्रेजी ों राधा होगा वह लाखों दिल का चोर हुंका तोह लागे वह हुआ है ऐसे बावला जो कहता जाए ो राधा तेरी चुनरी ो राधा तेरा झल्ला ो राधा तेरी नटखट नजरिया ो राधा तेरा झुमका ो राधा तेरा ठुमका ो पीछे पीछे साड़ी नगरीय ो राधा तेरी चुनरी ो राधा तेरा झल्ला ो राधा तेरी नटखट नजरिया ो राधा तेरा झुमका ो राधा तेरा ठुमका ो पीछे पीछे साड़ी नगरीय राधा ों थे डांस फ्लोर राधा लाइक्स तो पार्टी राधा लाइक्स तो मूव तहत सेक्सी राधा पार्टी राधा ों थे डांस फ्लोर राधा लाइक्स तो पार्टी राधा लाइक्स तो मूव तहत सेक्सी राधा पार्टी ो ो माथे पे पंख मोरे कहते हैं माखन चोर बजाये बांसुरी बड़ा आया चित्तचोर बूत राधा वांट्स मोरे ढूंढूंगी चरों और मिलेगा कोई और दूंगी में हाथों में मेरे दिल की ये डोर क्यूज़ राधा वांट्स मोरे ो राधा राधा भोली दीवानी है ो राधा राधा दो पल जवानी है ो राधा को सम्भालो कोई इसे बता दो की मिलेगा न कोई सांवरिया ो राधा तेरी चुनरी ो राधा तेरा झल्ला ो राधा तेरी नटखट नजरिया ो राधा तेरा झुमका ो राधा तेरा ठुमका ो पीछे पीछे साड़ी नगरीय हे राधा राधा काहे इतना गुरूर पला छोडो भी नखरे ये कैसी ऐडा तूने क्या सोचा तू ही इक मशहूर यहां लाखों हैं गोपियाँ भी हमपे फ़िदा हो साड़ी ही दुनिया ये नारी है शुरू हमसे तेरी कहानी है ो रहने दे रे कान्हा भूलेगा तू सताना जो गिरूँगी मैं बन के बिजुरिअ ो राधा तेरी चुनरी ो राधा तेरा झल्ला ो राधा तेरी नटखट नजरिया ो राधा तेरा झुमका ो राधा तेरा ठुमका ो पीछे पीछे साड़ी नगरीय राधा ों थे डांस फ्लोर राधा लाइक्स तो पार्टी राधा लाइक्स तो मूव तहत सेक्सी राधा पार्टी राधा ों थे डांस फ्लोर राधा लाइक्स तो पार्टी राधा लाइक्स तो मूव तहत सेक्सी राधा पार्टी पनघट पे आके सैयां मरोड़े बाइयाँ एंड एवरीबॉडी क्रेजी ों राधा छेड़े हुंका डाइयाँ बैरी कन्हैया एंड एवरीबॉडी क्रेजी ों राधा होगा वह लाखों दिल का चोर हुंका तोह लागे वह हुआ है ऐसे बावला जो कहता जाए ो राधा तेरी चुनरी ो राधा तेरा झल्ला ो राधा तेरी नटखट नजरिया ो राधा तेरा झुमका ो राधा तेरा ठुमका ो पीछे पीछे साड़ी नगरीय
Maahi Ve,Shankar-Ehsaan-Loy,Kal Ho Naa Ho (Original Motion Picture Soundtrack),2003-09-20,माहि वे माहि वे थॉट्स थे वे माहि वे तेरे माथे झूमर डंके तेरे कन्न्नो बाली चमके है रे माहि वे तेरे हाथो कंगना खनके तेरे पैरो पायल चांस है रे माहि वे नैनो से बोले रब्बा रब्बा मैं में डोले रब्बा रब्बा अमृत घोले रब्बा रब्बा तू सोनिये जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे थॉट्स थे वे माहि वे ो तेरे आँखें काली काली तेरा गोरा गोरा मुखड़ा है रे माहि वे तेरे रंगत जैसे सोना तू चाँद का टुकड़ा है रे माहि वे तेरे गाल गुलाबी रब्बा रब्बा चल शराबी रब्बा रब्बा दिल की खराबी रब्बा रब्बा तू सोनिये जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे बरसे रंगीनी कलियाँ है महकी भीनी भीनी बजे मैं में हलके हलके शहनईया रे जितने है टारे आँचल में आ गया सरे दिल ने जैसे ही ली अंगड़ाई रे तू जो आयी सझके मेहँदी राजके चल बजके ओह सोनिये दिल किट नो का खाये धजके ओह सोनिये जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे कान्हड़ा मेरी चंदा तुझे कैसे में यह समझाऊँ मुझे लगती है तू कितनी प्यारी रे खुशियां जितनी है सब जितनी है सब ढूंढ के लाऊं तेरी डोली के संग कर दो साडी रे तू जो आयी सझके मेहँदी राजके चल बजके ओह सोनिये दिल किट नो का खाये धजके ओह सोनिये जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे तेरे माथे झूमर डंके तेरे कन्न्नो बाली चमके है रे माहि वे तेरे हाथो कंगना खनके तेरे पैरो पायल चांस है रे माहि वे नैनो से बोले रब्बा रब्बा मैं में डोले रब्बा रब्बा अमृत घोले रब्बा रब्बा तू सोनिये जींद माहि वे जींद माहि वे जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे जींद माहि वे सोनी सोनी आजा माहि वे एवरीबॉडी सींग सोनी सोनी आजा माहि वे सोनी सोनी आजा माहि वे सोनी सोनी आजा माहि वे
Kuch Kuch Hota Hai,Jatin-Lalit,Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),1998-08-19,तुम पास आये यूँ मुस्कुराये तुम पास आये यूँ मुस्कुराये तुमने न जाने क्या सपने दिखाए तुम पास आये यूँ मुस्कुराये तुमने न जाने क्या सपने दिखाए अब तो मेरा दिल जगे न सोता है क्या करूँ है कुछ कुछ होता है क्या करूँ है कुछ कुछ होता है तुम पास आये यूँ मुस्कुराये तुमने न जाने क्या सपने दिखाए अब तो मेरा दिल जगे न सोता है क्या करूँ है कुछ कुछ होता है क्या करूँ है कुछ कुछ होता है न जाने कैसा एहसास है बुझती नहीं है क्या प्यास है क्या नशा इस प्यार का मुझपे सनम छाने लगा कोई न जाने क्यों चैन खोता है क्या करूँ है कुछ कुछ होता है क्या करूँ है कुछ कुछ होता है क्या रंग लायी मेरी दुआ ये इश्क़ जाने कैसे हुआ बेचैनियों में चैन न जाने क्यों आने लगा तन्हाई में दिल यादें संजोता है क्या करूँ है कुछ कुछ होता है क्या करूँ है कुछ कुछ होता है तुम पास आये यूँ मुस्कुराये तुमने न जाने क्या सपने दिखाए तुम पास आये यूँ मुस्कुराये तुमने न जाने क्या सपने दिखाए अब तो मेरा दिल जगे न सोता है क्या करूँ है कुछ कुछ होता है क्या करूँ है कुछ कुछ होता है
Dil Ne Yeh Kaha Hain Dil Se ,Udit Narayan,My Best Collection - Udit Narayan,2016-07-01,एरर फेचिंग थे सर्च रिजल्ट्स
Bin Tere Sanam ,Udit Narayan,My Best Collection - Udit Narayan,2016-07-01,बिन तेरे सनम मर मिटेंगे हम आ मेरी ज़िंदगी बिन तेरे सनम मर मिटेंगे हम आ मेरी ज़िंदगी आना ही पड़ा सजना ज़ालिम है दिल की लगी आना ही पड़ा सजना ज़ालिम है दिल की लगी बिन तेरे सनम मर मिटेंगे हम आ मेरी ज़िंदगी हो आना ही पड़ा सजना ज़ालिम है दिल की लगी आना ही पड़ा सजना ज़ालिम है दिल की लगी तेरे ही डैम से होगी दिल की मुराद पूरी तेरे बगैर जानम है ज़िंदगी अधूरी तेरे ही डैम से होगी दिल की मुराद पूरी तेरे बगैर जानम है ज़िंदगी अधूरी ै मेरे हंसीं अब न जा कहीं आ मेरी ज़िंदगी आना ही पड़ा सजना ज़ालिम है दिल की लगी बिन तेरे सनम मर मिटेंगे हम आ मेरी ज़िंदगी हो आना ही पड़ा सजना ज़ालिम है दिल की लगी ये जानकर बलमजी थामी है तेरी बाहें साहनी पड़ेगी सबकी कांटो भारी निगाहें ये जानकर बलमजी थामी है तेरी बाहें साहनी पड़ेगी सबकी कांटो भारी निगाहें सब सहेंगे हम और हँसेंगे हम आ मेरी ज़िंदगी ो हो हो आना ही पड़ा सजना ज़ालिम है दिल की लगी बिन तेरे सनम मर मिटेंगे हम आ मेरी ज़िंदगी आना ही पड़ा सजना ज़ालिम है दिल की लगी तुम हो मेरे तो अब है मौसम गुलाम अपना शबनम ने लिख दिया है फूलों पे नाम अपना तुम हो मेरे तो अब है मौसम गुलाम अपना शबनम ने लिख दिया है पहूओं पे नाम अपना सुन हवा यही गीत गए रही आ मेरी ज़िंदगी आना ही पड़ा सजना ज़ालिम है दिल की लगी बिन तेरे सनम मर मिटेंगे हम आ मेरी ज़िंदगी हो आना ही पड़ा सजना ज़ालिम है दिल की लगी
