name,artist,album_name,release_date
"Pyar Hua Iqrar Hua - From ""Shree 420""",Manna Dey,"Legends: Manna Dey - The Maestro, Vol. 1",2013-03-05
"Say ""Shava Shava""",Aadesh Shrivastava,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),2001-11-28
It's the Time to Disco,Shankar-Ehsaan-Loy,Kal Ho Naa Ho (Original Motion Picture Soundtrack),2003-09-20
"Main Jahaan Rahoon (From ""Namastey London"")",Rahat Fateh Ali Khan,Namastey London,2007-01-27
"Second Hand Jawaani (From ""Cocktail"")",Miss Pooja,Tanu Likes,2015-03-23
"Surili Akhiyon Wale (From ""Veer"")",Rahat Fateh Ali Khan,Manu Loves,2015-03-23
"Pani Da Rang Male (From ""Vicky Donor"")",Ayushmann Khurrana,Manu Loves,2015-03-23
"Tum Hi Ho Bandhu (From ""Cocktail"")",Neeraj Shridhar,Cocktail,2012-06-12
"Enna Sona (From ""OK Jaanu"")",A.R. Rahman,"Enna Sona (From ""OK Jaanu"")",2017-01-04
"Pehli Nazar Mein (From ""Race"")",Atif Aslam,Atif Hit Story,2013-03-05
Sab Tera,Shraddha Kapoor,Best of Bollywood March,2017-04-12
Galliyan,Ankit Tiwari,Best of Bollywood March,2017-04-12
Sun Mere Humsafar,Akhil Badrinath,Sun Mere Humsafar,2017-03-15
Kya Usey Behkana,Arijit Singh,Kya Usey Behkana,2017-02-28
Hua Hain Aaj Pehli Baar,Amaal Mallik,Best of Bollywood March,2017-04-12
"Judaai (From ""Badlapur)",Rekha Bhardwaj,Badlapur (Original Motion Picture Soundtrack),2015-02-12
"Chingari Koi Bhadke - From ""Amar Prem""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Mere Samnewali Khidki Mein - Happy - From ""Padosan""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Pyar Diwana Hota Hai - From ""Kati Patang""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Aanewala Pal Janewala Hai - From ""Golmaal""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Chala Jata Hoon - From ""Mere Jeevan Saathi""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Dekha Na Haye Re - From ""Bombay to Goa""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Dream Girl - From ""Dream Girl""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Khaike Paan Banaras Wala - From ""Don""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Eena Meena Deeka - From ""Aasha""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Ek Ladki Bheegi Bhagi Si - From ""Chalti Ka Naam Gaadi""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Mana Janab Ne Pukara Nahin - From ""Paying Guest""",Kishore Kumar,Meri Awaaz Suno - Kishore Kumar,2017-04-25
"Yeh Sham Mastani - From ""Kati Patang""",Kishore Kumar,Vintage King: Rajesh Khanna,2015-06-23
Sadka,Vishal-Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),2010-05-25
Jab Mila Tu,Vishal-Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),2010-05-25
Ishq Wala Love,Vishal-Shekhar,Student of the Year (Original Motion Picture Soundtrack),2012-08-31
"Sapna Jahan (From ""Brothers"")",Ajay-Atul,"Sapna Jahan (From ""Brothers"")",2015-07-24
"Naach Meri Jaan (From ""Tubelight"")",Pritam,"Naach Meri Jaan (From ""Tubelight"")",2017-06-01
Jai Ho! (You Are My Destiny),A.R. Rahman,Jai Ho! (You Are My Destiny),2009-01-01
"Dance Basanti (From ""Ungli"")",Sachin-Jigar,#Hashmania (Emraan Hashmi's Biggest Hits!),2015-05-07
Kabhi Khushi Kabhie Gham,Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),2001-11-28
Luka Chuppi,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),2005-12-04
Radha Kaise Na Jale,A.R. Rahman,Lagaan (Original Motion Picture Soundtrack),2001-04-03
"Chura Liya Hai Tumne Jo Dil Ko - From ""Yaadon Ki Baaraat""",Asha Bhosle,"Legends: Asha Bhosle - The Enchantress, Vol. 4",2013-03-05
Mitwa,Shankar-Ehsaan-Loy,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),2006-06-08
Maa Tujhe Salaam,A.R. Rahman,Vande Mataram,1997-09-26
Rang De Basanti,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),2005-12-04
"Zinda (From ""Bhaag Milkha Bhaag"")",Shankar-Ehsaan-Loy,The Spirit of Bhaag Milkha Bhaag,2013-06-14
Masti Ki Paathshala,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),2005-12-04
